2017-12-09 19:40:23 startup archives install
2017-12-09 19:40:30 status unpacked libgcrypt20:i386 1.7.6-2+deb9u2
2017-12-09 19:40:30 install libgpg-error0:i386 <none> 1.26-2
2017-12-09 19:40:30 status half-installed libgpg-error0:i386 1.26-2
2017-12-09 19:40:30 status unpacked libgpg-error0:i386 1.26-2
2017-12-09 19:40:30 status unpacked libgpg-error0:i386 1.26-2
2017-12-09 19:40:30 install libselinux1:i386 <none> 2.6-3+b3
2017-12-09 19:40:30 status half-installed libselinux1:i386 2.6-3+b3
2017-12-09 19:40:30 status unpacked libselinux1:i386 2.6-3+b3
2017-12-09 19:40:30 status unpacked libselinux1:i386 2.6-3+b3
2017-12-09 19:40:30 install libsemanage-common:all <none> 2.6-2
2017-12-09 19:40:30 status half-installed libsemanage-common:all 2.6-2
2017-12-09 19:40:30 status unpacked libsemanage-common:all 2.6-2
2017-12-09 19:40:30 status unpacked libsemanage-common:all 2.6-2
2017-12-09 19:40:30 install libsemanage1:i386 <none> 2.6-2
2017-12-09 19:40:30 status half-installed libsemanage1:i386 2.6-2
2017-12-09 19:40:30 status unpacked libsemanage1:i386 2.6-2
2017-12-09 19:40:30 status unpacked libsemanage1:i386 2.6-2
2017-12-09 19:40:30 install libsepol1:i386 <none> 2.6-2
2017-12-09 19:40:30 status half-installed libsepol1:i386 2.6-2
2017-12-09 19:40:30 status unpacked libsepol1:i386 2.6-2
2017-12-09 19:40:30 status unpacked libsepol1:i386 2.6-2
2017-12-09 19:40:30 install lsb-base:all <none> 9.20161125
2017-12-09 19:40:30 status half-installed lsb-base:all 9.20161125
2017-12-09 19:40:30 status unpacked lsb-base:all 9.20161125
2017-12-09 19:40:30 status unpacked lsb-base:all 9.20161125
2017-12-09 19:40:30 install liblz4-1:i386 <none> 0.0~r131-2+b1
2017-12-09 19:40:30 status half-installed liblz4-1:i386 0.0~r131-2+b1
2017-12-09 19:40:30 status unpacked liblz4-1:i386 0.0~r131-2+b1
2017-12-09 19:40:30 status unpacked liblz4-1:i386 0.0~r131-2+b1
2017-12-09 19:40:30 upgrade mawk:i386 1.3.3-17+b3 1.3.3-17+b3
2017-12-09 19:40:30 status half-configured mawk:i386 1.3.3-17+b3
2017-12-09 19:40:30 status unpacked mawk:i386 1.3.3-17+b3
2017-12-09 19:40:30 status half-installed mawk:i386 1.3.3-17+b3
2017-12-09 19:40:31 status half-installed mawk:i386 1.3.3-17+b3
2017-12-09 19:40:31 status unpacked mawk:i386 1.3.3-17+b3
2017-12-09 19:40:31 status unpacked mawk:i386 1.3.3-17+b3
2017-12-09 19:40:31 install libncursesw5:i386 <none> 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status half-installed libncursesw5:i386 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status unpacked libncursesw5:i386 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status unpacked libncursesw5:i386 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 install libtinfo5:i386 <none> 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status half-installed libtinfo5:i386 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status unpacked libtinfo5:i386 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status unpacked libtinfo5:i386 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 install ncurses-base:all <none> 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status half-installed ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status unpacked ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status unpacked ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 install ncurses-bin:i386 <none> 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status half-installed ncurses-bin:i386 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status unpacked ncurses-bin:i386 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 status unpacked ncurses-bin:i386 6.0+20161126-1+deb9u1
2017-12-09 19:40:31 install libpam-modules:i386 <none> 1.1.8-3.6
2017-12-09 19:40:31 status half-installed libpam-modules:i386 1.1.8-3.6
2017-12-09 19:40:31 status unpacked libpam-modules:i386 1.1.8-3.6
2017-12-09 19:40:31 status unpacked libpam-modules:i386 1.1.8-3.6
2017-12-09 19:40:31 install libpam-modules-bin:i386 <none> 1.1.8-3.6
2017-12-09 19:40:31 status half-installed libpam-modules-bin:i386 1.1.8-3.6
2017-12-09 19:40:31 status unpacked libpam-modules-bin:i386 1.1.8-3.6
2017-12-09 19:40:31 status unpacked libpam-modules-bin:i386 1.1.8-3.6
2017-12-09 19:40:31 install libpam-runtime:all <none> 1.1.8-3.6
2017-12-09 19:40:31 status half-installed libpam-runtime:all 1.1.8-3.6
2017-12-09 19:40:31 status unpacked libpam-runtime:all 1.1.8-3.6
2017-12-09 19:40:31 status unpacked libpam-runtime:all 1.1.8-3.6
2017-12-09 19:40:32 install libpam0g:i386 <none> 1.1.8-3.6
2017-12-09 19:40:32 status half-installed libpam0g:i386 1.1.8-3.6
2017-12-09 19:40:32 status unpacked libpam0g:i386 1.1.8-3.6
2017-12-09 19:40:32 status unpacked libpam0g:i386 1.1.8-3.6
2017-12-09 19:40:32 install libpcre3:i386 <none> 2:8.39-3
2017-12-09 19:40:32 status half-installed libpcre3:i386 2:8.39-3
2017-12-09 19:40:32 status unpacked libpcre3:i386 2:8.39-3
2017-12-09 19:40:32 status unpacked libpcre3:i386 2:8.39-3
2017-12-09 19:40:32 upgrade perl-base:i386 5.24.1-3+deb9u2 5.24.1-3+deb9u2
2017-12-09 19:40:32 status half-configured perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:32 status unpacked perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:32 status half-installed perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:32 status half-installed perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:32 status unpacked perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:32 status unpacked perl-base:i386 5.24.1-3+deb9u2
2017-12-09 19:40:32 install sed:i386 <none> 4.4-1
2017-12-09 19:40:32 status half-installed sed:i386 4.4-1
2017-12-09 19:40:32 status unpacked sed:i386 4.4-1
2017-12-09 19:40:32 status unpacked sed:i386 4.4-1
2017-12-09 19:40:32 install sensible-utils:all <none> 0.0.9
2017-12-09 19:40:32 status half-installed sensible-utils:all 0.0.9
2017-12-09 19:40:32 status unpacked sensible-utils:all 0.0.9
2017-12-09 19:40:32 status unpacked sensible-utils:all 0.0.9
2017-12-09 19:40:32 install login:i386 <none> 1:4.4-4.1
2017-12-09 19:40:32 status half-installed login:i386 1:4.4-4.1
2017-12-09 19:40:33 status unpacked login:i386 1:4.4-4.1
2017-12-09 19:40:33 status unpacked login:i386 1:4.4-4.1
2017-12-09 19:40:33 install passwd:i386 <none> 1:4.4-4.1
2017-12-09 19:40:33 status half-installed passwd:i386 1:4.4-4.1
2017-12-09 19:40:33 status unpacked passwd:i386 1:4.4-4.1
2017-12-09 19:40:33 status unpacked passwd:i386 1:4.4-4.1
2017-12-09 19:40:33 install libsystemd0:i386 <none> 232-25+deb9u1
2017-12-09 19:40:33 status half-installed libsystemd0:i386 232-25+deb9u1
2017-12-09 19:40:33 status unpacked libsystemd0:i386 232-25+deb9u1
2017-12-09 19:40:33 status unpacked libsystemd0:i386 232-25+deb9u1
2017-12-09 19:40:33 install libudev1:i386 <none> 232-25+deb9u1
2017-12-09 19:40:33 status half-installed libudev1:i386 232-25+deb9u1
2017-12-09 19:40:33 status unpacked libudev1:i386 232-25+deb9u1
2017-12-09 19:40:33 status unpacked libudev1:i386 232-25+deb9u1
2017-12-09 19:40:33 install sysvinit-utils:i386 <none> 2.88dsf-59.9
2017-12-09 19:40:33 status half-installed sysvinit-utils:i386 2.88dsf-59.9
2017-12-09 19:40:33 status unpacked sysvinit-utils:i386 2.88dsf-59.9
2017-12-09 19:40:33 status unpacked sysvinit-utils:i386 2.88dsf-59.9
